C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0001.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0002.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0003.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0004.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0005.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0006.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0007.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0008.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0009.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0010.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0011.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0012.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0013.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0014.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0015.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0016.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0017.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0018.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0019.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0020.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0021.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0022.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0023.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0024.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0025.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0026.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0027.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0028.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0029.jpg,0
C:/Users/HP/Desktop/Data Science/project/my_dataset/Alejandro_Toledo\Alejandro_Toledo_0030.jpg,0
